
Name    Rank    N=10^5  N=10^6

801a1   0       0.62487649653160786711  0.62830963088338180976
801b1   0       0.60913412614640468508  0.54750063271309431416
801b2   0       0.60913412614640468508  0.54750063271309431416
801c1   1       1.8415163142963833437   1.8187689235303423335
801c2   1       1.8415163142963833437   1.8187689235303423335
801d1   1       1.9054799984695553597   1.6671825962059423168
802a1   0       0.46343621486927670222  0.68999920677218829876
802b1   0       0.51679253092921474098  0.62831332839344403813
802b2   0       0.51679253092921474098  0.62831332839344403813
804a1   0       0.47478258169533726231  0.44495876865906074528
804a2   0       0.47478258169533726231  0.44495876865906074528
804b1   1       1.6725002236369784659   1.7606592029862084940
804c1   1       1.7773084155958126798   1.5141101465641441961
804d1   1       1.6962316707208353206   1.7157476477580443334
805a1   1       1.7263901436601457046   1.6137771633391908351
805b1   0       0.76960708827465880628  0.19812651097834391702
805b2   0       0.76960708827465880628  0.19812651097834391702
805c1   0       0.79619849640759310871  0.46574069736604104876
805c2   0       0.79619849640759310871  0.46574069736604104876
805c3   0       0.79619849640759310871  0.46574069736604104876
805c4   0       0.79619849640759310871  0.46574069736604104876
805d1   0       0.28529918942136507335  0.40897221459810731263
806a1   1       1.5476657621023588053   1.6371841121521726068
806b1   1       1.6724848665497546388   1.5113648570863916154
806c1   1       1.7280028920445446311   1.6094477111860243753
806d1   1       1.9600236293370771084   1.7411060719065771510
806e1   0       0.75251980591004194970  0.53877732243146860492
806e2   0       0.75251980591004194970  0.53877732243146860492
806e3   0       0.75251980591004194970  0.53877732243146860492
806f1   0       0.52698675105023579924  0.52086173037829767763
806f2   0       0.52698675105023579924  0.52086173037829767763
807a1   0       0.42040678568373666510  0.64382274123363509640
807a2   0       0.42040678568373666510  0.64382274123363509640
808a1   0       0.24087200523302453580  0.39309545871392396282
808b1   0       0.49886509722832602643  0.41079114041277188196
810a1   0       0.44050062066746672474  0.71079445289030414722
810a2   0       0.44050062066746672474  0.71079445289030414722
810b1   0       0.37433869514117410480  0.43398437588516664224
810b2   0       0.37433869514117410480  0.43398437588516664224
810c1   0       0.70480019396414472944  0.42115651643787383262
810c2   0       0.70480019396414472944  0.42115651643787383262
810d1   1       1.6769212422097694271   1.7356515984409935583
810d2   1       1.6769212422097694271   1.7356515984409935583
810e1   0       0.57915383695323129231  0.35239259252407182220
810e2   0       0.57915383695323129231  0.35239259252407182220
810f1   0       0.82748084702663998881  0.56894198231160220533
810f2   0       0.82748084702663998881  0.56894198231160220533
810g1   0       0.32241852476580025241  0.55715983726895323109
810g2   0       0.32241852476580025241  0.55715983726895323109
