
Name    Rank    N=10^5  N=10^6

701a1   0       0.44973923376759604060  0.48158990909541440311
702a1   1       1.6413020638757981630   1.8236572415598354538
702b1   1       1.8353505606204576781   1.6408462498159307293
702c1   0       0.54734577138258996625  0.45252495277984079461
702d1   0       0.51367535082789875883  0.71491348385960412320
702e1   0       0.53817295157138437360  0.39954253306539201765
702e2   0       0.53817295157138437360  0.39954253306539201765
702e3   0       0.53817295157138437360  0.39954253306539201765
702f1   0       0.34427059300963523866  0.61258249970860393535
702g1   0       0.38427695583163586097  0.53115364564901691469
702h1   1       1.6146155854204882338   1.7719150274231943734
702h2   1       1.6146155854204882338   1.7719150274231943734
702h3   1       1.6146155854204882338   1.7719150274231943734
702i1   0       0.46225985139616909908  0.45404592586963814774
702j1   0       0.54071361825836729037  0.45466536184530713958
702k1   1       1.9133430771915137600   1.8485409825084184361
702l1   1       1.8556166150308999453   1.7281675718653603773
702m1   1       1.9639627669123888677   1.8511830233082182741
702n1   0       0.54013281626535598063  0.62509682775809201552
702n2   0       0.54013281626535598063  0.62509682775809201552
702n3   0       0.54013281626535598063  0.62509682775809201552
702o1   0       0.84988233406376289102  0.65224595843045129914
702p1   0       0.53635278299139635093  0.47837147198297919427
702p2   0       0.53635278299139635093  0.47837147198297919427
702p3   0       0.53635278299139635093  0.47837147198297919427
703a1   0       0.68635971519800079023  0.40730801631128685263
703b1   1       1.6185207477952653270   1.7996654457377351256
704a1   1       1.8033138346908216487   1.7397634050436402851
704a2   1       1.8033138346908216487   1.7397634050436402851
704a3   1       1.8033138346908216487   1.7397634050436402851
704b1   1       1.5250296953732931507   1.6249485331714995666
704c1   0       0.72109017586722853566  0.46593826935121541698
704d1   0       0.56808118817679618664  0.55312589477928518205
704d2   0       0.56808118817679618664  0.55312589477928518205
704e1   0       0.54688970058876476615  0.41888282862929436609
704f1   0       0.67007220083104782024  0.60297331812043973274
704f2   0       0.67007220083104782024  0.60297331812043973274
704g1   0       0.34511046775575956363  0.63988552252635798509
704h1   0       0.56454023249501478566  0.59129772861398295601
704i1   0       0.58433711611770534077  0.75121117627005107462
704j1   1       1.8863515615895716640   1.5922092062168961335
704k1   1       1.7824820668403628167   1.8599255488712672752
704k2   1       1.7824820668403628167   1.8599255488712672752
704k3   1       1.7824820668403628167   1.8599255488712672752
704l1   1       1.5627678582744199378   1.9073880233160003072
705a1   1       1.7415141681356100289   1.5044783465542736381
705b1   1       1.5625207749754826220   1.7395372291925193332
705c1   0       0.76414274178415371860  0.62620184430678646174
705c2   0       0.76414274178415371860  0.62620184430678646174
705d1   1       1.6065684803779148213   1.7182362530006434572
705e1   1       1.9301773818070484813   1.9226829724218780753
705f1   0       0.43144556778505081846  0.62280474266331813688
705f2   0       0.43144556778505081846  0.62280474266331813688
705f3   0       0.43144556778505081846  0.62280474266331813688
705f4   0       0.43144556778505081846  0.62280474266331813688
706a1   1       1.5937565167069681077   1.6195769007710496366
706b1   1       1.7457074061577820484   1.8397695089782045840
706c1   1       1.8207472659828021704   1.6332400122155111669
706c2   1       1.8207472659828021704   1.6332400122155111669
706d1   1       1.8651954553348897554   1.5431593561067470535
706d2   1       1.8651954553348897554   1.5431593561067470535
707a1   2       2.9667851863614809462   2.8320852212621089943
708a1   0       0.29626362459561510695  0.49060797213891501498
708a2   0       0.29626362459561510695  0.49060797213891501498
709a1   2       2.7761831704554141249   2.8744245033139354812
710a1   1       1.8234397597295609717   1.6427385168446691923
710b1   1       1.8925448717836819869   1.6445079789903043413
710c1   1       1.7339109001230589240   1.7451021790129321658
710d1   0       0.61044554865132869848  0.70619682294235193418
710d2   0       0.61044554865132869848  0.70619682294235193418
711a1   1       1.9410476676583135463   1.5247265398921123397
711b1   1       1.9874390461581117816   1.6155302781601415039
711c1   0       0.46457629294030595851  0.58077776386830203375
712a1   0       0.34529918078069306319  0.55763086233730390648
712a2   0       0.34529918078069306319  0.55763086233730390648
713a1   1       1.6746554241678226865   1.8302761836137321968
714a1   1       1.5690625554368967776   1.6076151803974313958
714a2   1       1.5690625554368967776   1.6076151803974313958
714b1   0       0.23179514792287102665  0.73808210912986733642
714c1   0       0.52038407868331554867  0.68221806712649585204
714d1   1       1.7445430992670952059   1.5387452461480375617
714d2   1       1.7445430992670952059   1.5387452461480375617
714e1   0       0.36128045540000213655  0.56317356154824754008
714f1   1       1.8027538511924128585   1.6024828864259082082
714f2   1       1.8027538511924128585   1.6024828864259082082
714f3   1       1.8027538511924128585   1.6024828864259082082
714f4   1       1.8027538511924128585   1.6024828864259082082
714g1   0       0.48959061180994241336  0.52185767647914128289
714g2   0       0.48959061180994241336  0.52185767647914128289
714g3   0       0.48959061180994241336  0.52185767647914128289
714g4   0       0.48959061180994241336  0.52185767647914128289
714g5   0       0.48959061180994241336  0.52185767647914128289
714g6   0       0.48959061180994241336  0.52185767647914128289
714h1   0       0.33443505563705692579  0.71647784867605342978
714i1   0       0.52524935866304110589  0.74450887192443934300
714i2   0       0.52524935866304110589  0.74450887192443934300
714i3   0       0.52524935866304110589  0.74450887192443934300
715a1   1       1.8029332958147407894   1.6989274319206895210
715a2   1       1.8029332958147407894   1.6989274319206895210
715b1   1       2.0862657405126749805   1.5349359802886504242
718a1   0       0.20264639497533708549  0.51123310135410958357
718b1   2       2.9694555576085218492   2.8964769663826189363
718c1   1       1.8734305685158084592   1.7848847285495645285
720a1   1       1.6556682596943648035   1.6951958266585454908
720a2   1       1.6556682596943648035   1.6951958266585454908
720b1   0       0.89337878034773063084  0.53846568350287533809
720b2   0       0.89337878034773063084  0.53846568350287533809
720c1   0       0.44100692658784407425  0.74135881789098075480
720c2   0       0.44100692658784407425  0.74135881789098075480
720c3   0       0.44100692658784407425  0.74135881789098075480
720c4   0       0.44100692658784407425  0.74135881789098075480
720c5   0       0.44100692658784407425  0.74135881789098075480
720c6   0       0.44100692658784407425  0.74135881789098075480
720d1   0       0.47368402377986495137  0.34477808342375255926
720d2   0       0.47368402377986495137  0.34477808342375255926
720d3   0       0.47368402377986495137  0.34477808342375255926
720d4   0       0.47368402377986495137  0.34477808342375255926
720e1   1       1.7885472255865750062   1.6876313272297617353
720e2   1       1.7885472255865750062   1.6876313272297617353
720e3   1       1.7885472255865750062   1.6876313272297617353
720e4   1       1.7885472255865750062   1.6876313272297617353
720f1   0       0.46177828487699995969  0.60773344466581841638
720f2   0       0.46177828487699995969  0.60773344466581841638
720f3   0       0.46177828487699995969  0.60773344466581841638
720f4   0       0.46177828487699995969  0.60773344466581841638
720g1   1       1.7576596938523641503   1.7116337661647695632
720g2   1       1.7576596938523641503   1.7116337661647695632
